,Date,Top,Bottoms,Shoes,Jumper,Coat,Max temp,Min temp,Average temp,Precipitation,Activity,Mood,Warmth goal,Warmth level,Warmth met,Comfort goal,Comfort level,Comfort met,Formal goal,Formal level,Formal met
18,19/03/2023,4,10,21,28,43,8,3.5,5.75,1.9,Outside,3,b,9,TRUE,b,9,TRUE,c,6,TRUE
19,20/03/2023,4,11,23,33,39,7.5,5.3,6.4,2.8,University,4,b,9,TRUE,c,6,TRUE,b,9,TRUE
20,21/03/2023,2,13,22,31,40,7.7,0.5,4.1,2.6,Friends,5,a,12,TRUE,c,6,TRUE,a,12,TRUE
21,22/03/2023,1,12,21,28,42,9.6,7.2,8.4,5.8,Relax,2,b,11,TRUE,a,13,TRUE,c,6,TRUE
22,23/03/2023,5,13,20,27,38,11.5,6.2,8.85,6.8,University,3,b,9,TRUE,b,10,TRUE,b,11,TRUE
23,24/03/2023,3,9,22,33,39,10.9,6.1,8.5,4.6,University,4,b,9,TRUE,c,6,TRUE,b,9,TRUE
24,25/03/2023,1,11,22,32,39,10.2,6.5,8.35,3.5,Work,1,b,11,TRUE,a,9,TRUE,a,10,TRUE
25,26/03/2023,3,10,22,29,37,6.5,0.6,3.55,1,Work,1,a,11,TRUE,a,9,TRUE,a,10,TRUE
26,27/03/2023,2,10,19,32,39,3.5,-1.3,1.1,1.9,Friends,3,a,11,TRUE,b,11,TRUE,a,8,TRUE
27,28/03/2023,1,10,21,32,40,4.6,-3,0.8,0,Relax,4,a,11,TRUE,c,13,TRUE,c,6,TRUE
28,29/03/2023,4,13,22,31,40,7.8,1.5,4.65,3.1,Friends,5,a,11,TRUE,c,6,TRUE,a,13,TRUE
29,30/03/2023,1,12,19,33,41,9.3,5.1,7.2,12.4,Relax,3,b,9,TRUE,b,9,TRUE,c,6,TRUE
30,31/03/2023,5,12,19,28,40,9.8,3.7,6.75,3.6,Outside,2,b,11,TRUE,a,13,TRUE,c,6,TRUE
31,01/04/2023,0,13,22,29,39,7.3,0.6,3.95,0,Relax,5,a,11,TRUE,c,6,TRUE,c,13,FALSE
32,02/04/2023,5,11,19,31,39,7.8,-1.5,3.15,0,Work,1,a,11,TRUE,a,9,TRUE,a,10,TRUE
33,03/04/2023,0,11,22,29,41,5.7,-3.1,1.3,0,Work,5,a,11,TRUE,c,6,TRUE,a,13,TRUE
34,04/04/2023,5,10,19,30,40,7.4,-2.3,2.55,0,Outside,1,a,11,TRUE,a,13,TRUE,c,6,TRUE
35,05/04/2023,1,12,20,27,38,6.8,-1.4,2.7,0.4,University,3,a,11,TRUE,b,11,TRUE,b,8,TRUE
36,06/04/2023,4,10,19,29,41,7.5,2,4.75,0,Friends,1,a,11,TRUE,a,9,TRUE,a,10,TRUE
37,07/04/2023,2,12,20,33,40,7.5,-1.3,3.1,0,Relax,5,a,12,TRUE,c,6,TRUE,c,6,TRUE
38,08/04/2023,2,10,22,33,41,14,2.3,8.15,0,University,5,b,9,TRUE,c,6,TRUE,b,9,TRUE
39,09/04/2023,3,11,22,27,42,11.7,0.7,6.2,0,University,1,b,10,TRUE,a,9,TRUE,b,11,TRUE
40,10/04/2023,4,11,20,27,41,10.3,1.5,5.9,0,Work,4,b,11,TRUE,c,6,TRUE,a,13,TRUE
41,11/04/2023,2,13,22,27,39,10.3,5.6,7.95,8.9,Work,4,b,11,TRUE,c,6,TRUE,a,13,TRUE
42,12/04/2023,1,12,22,32,40,10.3,1.1,5.7,0.5,Friends,3,b,11,TRUE,b,11,TRUE,a,8,TRUE
43,13/04/2023,5,12,19,28,40,10.4,6.5,8.45,7.7,Relax,1,b,11,TRUE,a,13,TRUE,c,6,TRUE
44,14/04/2023,2,9,21,29,42,10.7,3.1,6.9,3.1,Friends,1,b,11,TRUE,a,9,TRUE,a,10,TRUE
45,15/04/2023,3,10,18,28,43,13.4,7.1,10.25,0.6,Relax,2,c,8,TRUE,a,10,TRUE,c,6,TRUE
46,16/04/2023,1,14,19,30,40,12.6,7.1,9.85,0,Outside,2,b,11,TRUE,a,13,TRUE,c,6,TRUE
47,17/04/2023,3,13,19,33,38,13.4,2.2,7.8,0,Relax,3,b,9,TRUE,b,9,TRUE,c,6,TRUE
48,18/04/2023,5,12,22,31,40,14.9,2.2,8.55,0,Work,2,b,11,TRUE,a,9,TRUE,a,10,TRUE
49,19/04/2023,0,13,22,29,39,13.7,3.6,8.65,0,Work,4,b,11,TRUE,c,6,TRUE,a,13,TRUE
50,20/04/2023,0,11,19,33,43,16.8,4.9,10.85,0,Outside,5,c,6,TRUE,c,6,TRUE,c,6,TRUE
51,21/04/2023,3,9,22,33,41,15.8,4.2,10,0,University,5,c,8,TRUE,c,6,TRUE,b,10,TRUE
52,22/04/2023,4,10,22,33,41,16.5,3.6,10.05,0,Friends,5,c,8,TRUE,c,6,TRUE,a,10,TRUE
53,23/04/2023,2,11,21,33,43,12.4,7.3,9.85,3.3,Relax,4,b,9,TRUE,c,4,TRUE,c,5,TRUE
54,24/04/2023,1,9,20,27,39,13,6.1,9.55,0.9,University,1,b,10,TRUE,a,9,TRUE,b,11,TRUE
55,25/04/2023,1,13,21,27,37,8.8,6.1,7.45,0.6,University,3,b,9,TRUE,b,10,TRUE,b,11,TRUE
56,26/04/2023,4,9,20,29,41,9.1,4.3,6.7,0.4,Work,4,b,11,TRUE,c,6,TRUE,a,13,TRUE
57,27/04/2023,5,14,20,29,39,9.8,3.1,6.45,0.8,Work,2,b,11,TRUE,a,9,TRUE,a,10,TRUE
58,28/04/2023,4,13,20,27,39,11.2,-0.4,5.4,0,Friends,5,b,11,TRUE,c,6,TRUE,a,13,TRUE
59,29/04/2023,3,12,19,32,38,13,2.2,7.6,0,Relax,1,b,11,TRUE,a,13,TRUE,c,6,TRUE
60,30/04/2023,2,9,20,31,41,9.7,3.9,6.8,0,Friends,4,b,11,TRUE,c,6,TRUE,a,13,TRUE
61,01/05/2023,3,10,19,28,42,14.1,2.9,8.5,0,Relax,5,b,10,TRUE,c,14,TRUE,c,6,TRUE
62,02/05/2023,3,10,19,32,40,11.1,6.1,8.6,0.1,Outside,1,b,11,TRUE,a,13,TRUE,c,6,TRUE
63,03/05/2023,1,10,19,28,38,11.8,4.2,8,0,Relax,4,b,10,TRUE,c,15,TRUE,c,5,TRUE
64,04/05/2023,2,11,18,31,41,13.7,1.8,7.75,0,Work,5,b,11,TRUE,c,6,TRUE,a,13,TRUE
65,05/05/2023,5,11,19,31,39,8.3,3.9,6.1,0,Work,1,b,11,TRUE,a,9,TRUE,a,10,TRUE
66,06/05/2023,4,13,22,31,40,11,3.4,7.2,0,Outside,4,b,11,TRUE,c,6,TRUE,c,13,TRUE
67,07/05/2023,5,12,18,29,41,14.5,2.8,8.65,0,University,1,b,10,TRUE,a,9,TRUE,b,11,TRUE
68,08/05/2023,3,11,18,27,40,15,4,9.5,0,Friends,1,b,11,TRUE,a,9,TRUE,a,10,TRUE
69,09/05/2023,3,14,22,33,43,15.7,7.4,11.55,0,Relax,5,c,6,TRUE,c,6,TRUE,c,6,TRUE
70,10/05/2023,0,11,20,27,43,17.6,9.7,13.65,0,University,5,c,8,TRUE,c,6,TRUE,b,10,TRUE
71,11/05/2023,5,14,23,31,39,18.9,10.6,14.75,0,University,1,c,8,TRUE,a,11,TRUE,b,11,TRUE
72,12/05/2023,0,14,18,31,39,20.3,7.3,13.8,0,Work,2,c,8,TRUE,a,9,TRUE,a,13,TRUE
73,13/05/2023,2,9,18,29,43,20.8,6.1,13.45,0,Work,5,c,8,TRUE,c,6,TRUE,a,10,TRUE
74,14/05/2023,5,13,20,33,41,20.5,8.9,14.7,0,Friends,4,c,8,TRUE,c,6,TRUE,a,10,TRUE
75,15/05/2023,3,10,21,29,40,21.1,9.1,15.1,3.1,Relax,2,d,14,TRUE,a,10,TRUE,c,6,TRUE
76,16/05/2023,0,13,23,27,39,14.1,9.8,11.95,2.5,Friends,1,c,8,TRUE,a,9,TRUE,a,13,TRUE
77,17/05/2023,1,10,23,30,40,12.3,6.5,9.4,0.9,Relax,1,b,11,TRUE,a,13,TRUE,c,6,TRUE
78,18/05/2023,1,10,19,30,42,13.8,3.6,8.7,0,Outside,5,b,10,TRUE,c,14,TRUE,c,6,TRUE
79,19/05/2023,3,10,21,32,38,16.4,1.8,9.1,0,Relax,1,b,11,TRUE,a,13,TRUE,c,6,TRUE
80,20/05/2023,0,11,22,27,42,17.5,3.4,10.45,0,Work,1,c,8,TRUE,a,9,TRUE,a,13,TRUE
81,21/05/2023,0,14,18,32,37,22.5,9.4,15.95,0,Work,2,d,5,TRUE,a,12,TRUE,a,13,TRUE
82,22/05/2023,3,11,20,30,43,22,12.5,17.25,0,Outside,4,d,12,TRUE,c,6,TRUE,c,6,TRUE
83,23/05/2023,0,14,20,27,38,14.3,10.8,12.55,4.7,University,1,c,8,TRUE,a,11,TRUE,b,11,TRUE
84,24/05/2023,4,14,22,32,38,18.1,9.6,13.85,0,Friends,3,c,8,TRUE,b,11,TRUE,a,11,TRUE
85,25/05/2023,0,12,19,33,38,15.7,9.9,12.8,0,Relax,3,c,8,TRUE,b,10,TRUE,c,6,TRUE
86,26/05/2023,5,13,23,28,41,15,8,11.5,0,University,2,c,8,TRUE,a,11,TRUE,b,11,TRUE
87,27/05/2023,0,12,22,33,41,18.2,5.4,11.8,0,University,5,c,8,TRUE,c,6,TRUE,b,10,TRUE
88,28/05/2023,2,14,22,31,43,17,7.7,12.35,0,Work,4,c,8,TRUE,c,6,TRUE,a,10,TRUE
89,29/05/2023,0,14,19,29,37,16.9,5.6,11.25,0,Work,3,c,8,TRUE,b,11,TRUE,a,11,TRUE
90,30/05/2023,2,11,18,27,43,20.3,7.6,13.95,0,Friends,5,c,8,TRUE,c,6,TRUE,a,10,TRUE
91,31/05/2023,2,10,18,33,43,19.5,8.5,14,0,Relax,5,c,6,TRUE,c,6,TRUE,c,6,TRUE
92,01/06/2023,0,11,23,27,38,18.8,10.2,14.5,0.1,Friends,3,c,8,TRUE,b,11,TRUE,a,11,TRUE
93,02/06/2023,1,14,19,29,43,16.1,8.3,12.2,0,Relax,1,c,8,TRUE,a,10,TRUE,c,6,TRUE
94,03/06/2023,5,11,19,33,38,18.6,3.6,11.1,0,Outside,1,c,8,TRUE,a,10,TRUE,c,6,TRUE
95,04/06/2023,3,12,18,33,43,18.7,7.3,13,0,Relax,4,c,7,TRUE,c,6,TRUE,c,5,TRUE
96,05/06/2023,0,13,20,32,37,21.6,8.2,14.9,0,Work,1,c,8,TRUE,a,9,TRUE,a,13,TRUE
97,06/06/2023,5,9,23,27,42,22.7,9.1,15.9,0,Work,2,d,5,TRUE,a,13,TRUE,a,12,TRUE
98,07/06/2023,3,11,21,28,40,23.3,8.1,15.7,0,Outside,2,d,14,TRUE,a,10,TRUE,c,6,TRUE
99,08/06/2023,0,13,19,33,43,23.1,8.7,15.9,0,University,4,d,5,TRUE,c,6,TRUE,b,7,TRUE
100,09/06/2023,5,13,22,33,43,21.1,9.9,15.5,0,Friends,5,d,5,TRUE,c,5,TRUE,a,8,TRUE
101,10/06/2023,3,14,20,33,43,21.2,10.5,15.85,0,Relax,4,d,7,TRUE,c,6,TRUE,c,5,TRUE
102,11/06/2023,5,9,23,31,43,20.9,9.5,15.2,0,University,1,d,5,TRUE,a,9,TRUE,b,10,TRUE
103,12/06/2023,5,13,18,33,37,22.7,9.6,16.15,0,University,3,d,5,TRUE,b,8,TRUE,b,11,TRUE
104,13/06/2023,0,9,20,33,43,23.3,8.8,16.05,0,Work,4,d,5,TRUE,c,5,TRUE,a,8,TRUE
105,14/06/2023,5,14,18,27,42,23.9,7.9,15.9,0,Work,1,d,5,TRUE,a,13,TRUE,a,12,TRUE
106,15/06/2023,0,14,23,28,43,24,10.6,17.3,0,Friends,3,d,5,TRUE,b,11,TRUE,a,8,TRUE
107,16/06/2023,2,14,23,33,43,23.2,13.8,18.5,5.2,Relax,3,d,5,TRUE,b,7,TRUE,c,6,TRUE
108,17/06/2023,0,10,23,33,42,21.4,10.7,16.05,15.8,Friends,3,d,5,TRUE,b,11,TRUE,a,8,TRUE
109,18/06/2023,5,10,22,33,43,20.7,13.7,17.2,2.6,Relax,3,d,5,TRUE,b,7,TRUE,c,6,TRUE
110,19/06/2023,0,9,18,27,37,22.1,11.8,16.95,5.6,Outside,2,d,5,TRUE,a,10,TRUE,c,15,TRUE
111,20/06/2023,3,12,20,33,43,23.6,15.6,19.6,1.6,Relax,5,e,9,FALSE,c,5,TRUE,c,4,TRUE
112,21/06/2023,2,10,20,28,39,24.7,16.5,20.6,15.2,Work,2,e,13,FALSE,a,9,TRUE,a,8,TRUE
113,22/06/2023,2,11,21,30,42,23.5,14.8,19.15,0,Work,1,e,13,FALSE,a,9,TRUE,a,8,TRUE
114,23/06/2023,3,12,20,29,43,20.7,14.8,17.75,0,Outside,4,d,12,TRUE,c,6,TRUE,c,6,TRUE
115,24/06/2023,3,13,20,29,39,22.8,13.2,18,0,University,4,d,14,TRUE,c,6,TRUE,b,10,TRUE
116,25/06/2023,4,11,20,29,40,23.6,13.9,18.75,0.4,Friends,4,d,14,TRUE,c,6,TRUE,a,10,TRUE
117,26/06/2023,3,10,20,30,40,25.1,14.9,20,10.1,Relax,3,e,14,FALSE,b,10,TRUE,c,6,TRUE
118,27/06/2023,0,13,23,32,43,18.2,14.2,16.2,0.7,University,2,d,5,TRUE,a,9,TRUE,b,10,TRUE
119,28/06/2023,0,13,19,33,43,21.9,15.1,18.5,0.8,University,5,d,5,TRUE,c,6,TRUE,b,7,TRUE
120,29/06/2023,4,13,20,30,39,21.3,14.4,17.85,0.4,Work,5,d,13,TRUE,c,6,TRUE,a,11,TRUE
121,30/06/2023,0,10,23,32,43,20.2,14.6,17.4,4.5,Work,3,d,5,TRUE,b,11,TRUE,a,8,TRUE
122,01/07/2023,0,9,23,27,37,17.3,13.3,15.3,6.8,Friends,3,d,5,TRUE,b,11,TRUE,a,14,TRUE
